Student,Assignment1,Assignment2,Assignment3,Assignment4,Assignment5,Assignment6,Assignment7,Assignment8,Assignment9,Lab1,Lab2,Lab3,Lab4,Lab5,Lab6
#0595,9.28,10,10,20,10,10,25,27.64,15,7,8.5,9.8,10,4,7.4
#0596,10,10,10,20,10,10,25,40,15,7,9.4,9.5,8.5,6,9.15
#0597,10,10,10,12.5,10,10,25,40,15,10,10,9.1,10,9,8.666666667
#0598,10,10,10,20,10,10,25,40,15,9,9.1,8.533333333,9.5,9,5.55
#0599,10,10,10,19.1,10,10,15.77,40,15,8.5,10,8.3,7.9,4,9.466666667
#0600,10,10,10,20,10,10,1.4,31.4,15,9,6.75,7.866666667,8.6,9,10
#0601,10,10,10,20,10,1.99,25,40,15,10,9.5,7.9,7.666666667,8,9.6
#0602,10,10,10,20,10,10,0,0,0,10,7.925,9.6,5.4,9,0
#0603,10,10,10,20,10,10,25,38.61,15,10,9.75,7.733333333,7.4,7,7.8
#0604,0,0,10,20,0,4.57,0,3.3,2.21,8,4.95,8.5,7.4,7,7.55
#0605,10,10,10,20,10,8.43,7.42,15.97,15,7,8.49047619,7.8,6.1,6,9.2
#0606,10,10,10,20,10,10,2.5,40,15,8.8,9.75,9.3,5.366666667,7,7.6
#0607,0,0,0,0,0,0,0,4.94,9.86,8,8,4.2,4.8,3,7.6
#0608,10,10,10,20,10,10,0,35.85,15,9,7.95,9,7.2,7,10
#0609,10,10,10,20,10,10,25,38.51,15,9.6,9.05,8.4,8,7,7.8
#0610,10,9.08,10,11.97,6.61,10,0,14.33,13.05,7.8,0,9.6,8,6,9
#0611,10,10,10,20,10,10,25,38.36,15,10,9.2,8.133333333,9.666666667,9,8.4
#0612,10,10,10,20,10,10,25,40,15,9,9.8,9.4,7.75,7,8.6
#0613,10,10,10,20,10,10,19.12,6.48,12.3,9,9.666666667,7.9,7.8,10,7.6
#0614,10,10,10,0,9.94,9.75,0,4.98,0,9,9.6,9.666666667,4.2,7,8.8
#0615,10,10,10,13.47,3.96,10,18.68,40,15,9,8.8,8.166666667,8.266666667,5,8.8
#0616,10,10,10,20,10,10,25,40,15,9,10,9.55,9.8,10,8.6
#0617,10,10,10,20,9.95,10,10.2,39.84,13.82,9,9.157142857,6.583333333,8,9.333333333,8.6
#0618,10,10,10,20,10,10,25,40,15,10,9,9.35,8.1,10,9.4
#0619,10,10,10,20,10,10,15.67,35.95,15,7,8.95,6.6,5.8,8,7.466666667
#0620,10,10,10,20,10,10,25,40,15,10,6.516666667,7.366666667,6.35,9,9.55
#0621,10,10,10,20,9.11,10,9.87,5.54,7.82,7.8,7.416666667,8,6.15,0,6.6
#0622,10,10,10,20,10,10,16.66,20.49,15,6,7.8,8.6,7.2,1,8.2
#0623,10,10,10,20,10,10,25,0,15,8.8,7.466666667,6.8,3.8,8,6.266666667
#0624,10,10,10,20,0,10,14.16,31.82,15,9,9.466666667,8,9,9,8.6
#0625,10,10,10,20,10,10,25,40,15,9.5,9.8,7.5,8,8,10
#0626,10,10,10,9.93,10,9.39,25,40,15,9,8.8,8,10,8,8.466666667
#0627,10,10,10,20,10,8.41,19.98,40,15,9,9.6,9.35,8.75,0,8.3
#0628,10,10,10,13.34,9.69,9.51,9.03,40,15,9,9.2,9.8,9.8,8,7.6
#0629,10,10,10,20,10,10,25,40,15,10,8.857142857,7,8.8,8,9.55
#0630,10,10,10,20,10,10,13.34,40,15,10,9.133333333,9.4,0,8,9
#0631,10,10,10,17.79,9.55,10,21.14,40,15,9,9.25,8.733333333,8.85,8,8.8
#0632,0,0,10,0,0,10,6.91,1,15,9,4.75,7.033333333,8.55,3,8
#0633,10,10,10,20,10,10,25,40,15,10,7.8,9.2,7.466666667,7,9.4
#0634,10,10,10,12.63,5.84,10,11.64,35.96,15,7.8,8.457142857,6.9,6.333333333,9,6.483333333
#0635,10,10,10,20,10,10,25,40,15,10,9.8,8.4,7.6,9.5,9.4
#0636,10,10,10,20,10,10,25,40,15,9,9.8,9.8,10,7,10
#0637,0,0,10,11.94,0,7.5,10.26,10,3.57,9,7.833333333,7.066666667,8,9,7.55
#0638,10,10,10,20,10,10,24.46,40,15,9,9.166666667,8.166666667,8,8,8.8
#0639,10,10,10,20,10,10,25,40,15,10,8.625,5.4,9.8,7,9.6
#0640,10,10,10,20,10,10,25,40,15,8.8,10,9.4,8,8,9
#0641,10,8.1,10,12.27,7.9,9.26,4.99,2.49,11.6,7.8,7.114285714,6.3,7.6,8,6.1
#0642,10,10,10,20,10,10,25,40,15,9.8,8.6,10,9.8,8,8
#0643,10,10,10,20,10,10,21.61,37.19,12.2,9.6,6.733333333,8.1,8.6,8,10
#0644,10,10,10,20,10,10,25,40,15,5.8,7.9,8.6,9.55,8,8.6
#0645,10,10,10,20,10,10,25,40,15,9.8,8.8,9,8.6,0,9.35
#0646,10,10,10,20,10,10,25,40,15,10,9.75,8.4,9.8,7,10
#0647,10,10,10,10,9.95,10,11.67,40,15,7,9.55,9.8,7.666666667,9,8.2
#0648,10,10,10,20,10,10,25,40,10.89,10,9.666666667,8.533333333,8,6,9.2
#0649,10,10,10,20,10,10,25,40,15,10,9.75,8.6,8.8,9,8.8
#0650,10,10,10,20,10,10,25,40,15,9.5,8.8,8.733333333,6.6,7,9.4
#0651,10,10,10,20,10,10,25,34.06,15,10,9.8,9.1,10,8,10
#0652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#0653,10,10,10,20,10,10,14.51,12.27,15,9.8,9.133333333,7.366666667,4.2,7,7.1
#0654,10,10,10,20,10,10,18.13,40,15,10,0,0,8.8,4,9.8
#0655,10,10,10,20,10,10,25,40,15,9,9.4,8.8,8,8,9.6
#0656,10,10,10,20,10,10,25,40,15,9,10,10,9.666666667,8,7
#0657,10,10,10,20,10,10,25,40,15,8,7.8,9.416666667,9,8,7.4
#0658,10,10,10,20,10,10,25,40,15,8.8,6.95,8.05,7.266666667,6,9
#0659,10,9.07,10,12.6,9.94,10,21.49,39.57,15,8,9.666666667,8.4,7.666666667,4,8.8
#0660,10,10,9.61,8.88,6.76,6.45,16.96,35.23,14.24,7.6,6.083333333,7.8,7.3,8,7.55
#0661,10,10,10,20,10,10,25,40,14.86,8.8,10,8.9,7.15,7,5.266666667
#0662,10,10,10,19.19,10,10,25,22.17,12.1,9.6,9.4,7.633333333,6.6,7,7.95
#0663,10,10,10,14.13,0,10,6.68,6.86,11.38,10,0,4.933333333,7.5,10,10
#0664,0,0,.94,0,0,0,0,0,0,9.8,7.1,8.5,0,0,0
#0665,10,10,10,20,10,10,22.62,40,15,8.5,9,8.8,3.6,8,6.8
#0666,10,9.17,10,9.75,9.82,10,20.49,18.81,10.76,8.8,8.2,7.866666667,7.6,8,7.2
#0667,10,10,10,20,10,10,25,40,15,8.6,10,8.1,9.8,8,10
#0668,10,10,10,20,10,10,25,40,15,8,6.514285714,8.533333333,5.7,2.333333333,7.933333333
#0669,10,10,10,20,10,10,25,40,15,9,10,9.8,8,7,8.8
#0670,10,10,10,13.57,10,10,2.98,15.41,15,9,9,8.15,5.8,8,9.35
#0671,10,10,10,20,10,10,25,40,15,9,10,9.266666667,9,8,9.4
#0672,10,10,10,20,10,10,25,40,15,10,9.6,9.666666667,9,7.333333333,10
#0673,9.79,10,10,20,10,0,6.78,4.95,15,9,5.907142857,7.2,7,8,8.4
#0674,10,10,10,10.99,9.98,9.96,25,40,15,9,8.8,8.5,7.8,8,8.6
#0675,10,10,10,20,10,10,25,32.3,15,9.8,9.8,9,0,8,9
#0676,10,10,10,20,10,10,17.09,37.08,14.97,10,8.4,9,8.4,8,8
#0677,10,10,10,20,10,10,20.92,0,15,0,9.425,0,0,0,7.6
#0678,10,10,10,20,9.37,8.03,6.63,13.64,15,7.5,6.99047619,8.8,7.8,9,7.8
#0679,10,10,10,20,10,10,25,37.6,15,9.8,8.6,9.6,8.666666667,3.5,9.8
#0680,10,10,10,20,10,10,25,40,15,9,10,7.4,8.8,5,9.8
#0681,10,10,10,20,10,10,25,40,15,8,9.6,8.6,8.8,7.5,9.133333333
#0682,10,10,10,20,5.14,0,21.98,0,6.59,9,0,4.1,4.1,7,9
#0683,10,8.31,10,10.75,10,10,25,40,15,8,9.133333333,8.883333333,9,7,10
#0684,10,0,10,20,10,0,6.47,31,15,5.833333333,7.5,7,3.85,4,7
#0685,10,10,10,20,10,10,25,40,15,8,9.6,8.3,9,8,9.6
#0686,10,10,10,10.98,10,9.59,22.49,37.07,15,10,8.6,8.8,8.6,6,9.8
#0687,10,10,10,20,9.24,10,0,10.27,15,8,7.516666667,6.8,4.5,3,8
#0688,10,10,10,20,10,10,25,40,15,8.8,9.75,9.466666667,10,9,10
#0689,10,10,10,14.63,10,10,21.58,40,15,8,9,8.8,10,0,9
#0690,10,10,10,20,10,10,22.46,40,15,9,9.55,10,10,7,8.8
#0691,10,10,10,20,10,10,10.35,1,0,8,8.6,7.8,0,9.333333333,8.2
#0692,10,10,10,14.51,8.03,8.15,2.48,14.83,0,9,9.6,7.666666667,9,5,3.8
#0693,10,10,10,20,7.84,10,25,34.23,15,8,0,7.8,9,7,8.5
#0694,10,10,10,20,10,10,25,40,15,9,9.75,8.866666667,9.666666667,8,8.8
#0695,10,10,10,13.45,10,10,25,40,15,9,8,0,9,9,9
#0696,0,0,10,20,4.28,10,2.73,0,5.65,9.8,8.45,7.866666667,8.3,9,0
#0697,10,10,10,10.31,10,10,2.55,33.42,12.81,9,8.657142857,7.9,9,7,8.8
#0698,10,10,10,20,10,10,20.4,40,13.21,9.8,8.8,8.566666667,8,8,8.6
#0699,10,10,10,20,10,10,3,4.98,0,10,9.75,9.1,7.8,10,0
#0700,10,10,10,19.73,4.96,10,6.68,9.98,15,8,9,9.5,7.55,0,9.6
#0701,10,10,10,20,10,10,25,40,15,9.05,9.8,9.4,10,10,8.5
#0702,10,10,10,20,10,10,17.65,12.76,12.37,8.5,9.6,8.9,8.55,7.5,8
#0703,10,10,10,0,0,0,25,0,15,8,9.133333333,9.5,0,5,8.133333333
#0704,10,10,10,20,10,0,0,0,0,8.8,8.533333333,6.5,0,3,8.8
#0705,10,10,10,20,10,10,24.05,40,15,10,9,9.4,6.3,6,8
#0706,10,10,10,20,10,10,25,32.77,15,8,9,7.133333333,9.1,6,9.6
#0707,10,10,10,20,10,10,18.32,39.06,15,9,8.666666667,8.633333333,4.8,6,9.4
#0708,10,10,10,20,10,10,25,40,15,9,8.8,9.6,7.8,5.333333333,8.4
#0709,10,10,10,20,10,10,25,30.5,15,10,9.05,8.066666667,6.55,5,8.6
#0710,10,10,10,20,10,10,25,19.68,15,9,9.6,8.45,9,7,10
#0711,10,10,10,20,10,10,25,40,15,9.8,9,9.1,8,6,7.4
#0712,10,10,10,5.99,10,10,12.29,27.8,15,9,9.1,7.75,6.4,4.75,9.2
#0713,10,10,10,20,10,10,25,40,15,9,9.2,8.9,9.4,6.333333333,8
#0714,10,10,10,20,10,10,25,40,15,9.8,8.75,8.8,5.333333333,7.333333333,6.066666667
#0715,10,10,10,19.91,9.93,0,11.21,10,7.75,9,8.35,8.4,8.8,5,0
#0716,10,10,10,20,10,10,21.69,36.23,15,8,8.8,6.716666667,9,10,9.6
#0717,10,10,10,20,0,10,0,0,0,9,9.523809524,0,7,7,8.75
#0718,10,10,10,20,10,10,25,40,15,10,10,9.6,9.216666667,9,10
#0719,10,10,10,20,10,10,25,40,15,10,10,9.8,8.666666667,10,7.8
#0720,10,10,10,20,10,10,25,40,15,9,10,9.8,8.5,8,8.333333333
#0721,10,10,10,10.91,10,10,25,18.35,15,9,8.4,9.3,9.8,10,9.8
#0722,10,0,9.79,9.87,9.17,6.87,20.2,0,.85,10,7.766666667,6.633333333,0,0,3.9
#0723,10,10,10,20,10,7.94,23.23,32.55,15,7.4,8.457142857,7.533333333,5.7,6,8.266666667
#0724,10,10,10,11.99,10,10,21.75,40,14.67,9,9.25,7.766666667,7,10,6.6
#0725,10,10,10,20,10,10,25,40,15,8.8,9,9.4,9.6,8,8.2
#0726,10,10,10,20,10,10,25,38.79,15,9,9,8.9,7.55,8,7.8
#0727,10,10,10,20,10,10,19.59,40,15,8.8,9.1,9,8,10,0
#0728,10,10,10,20,10,8.72,20.66,40,12.03,10,10,8,9,9,8.133333333
#0729,10,10,10,20,10,10,25,40,15,9,9.857142857,9.666666667,9,8,8.6
#0730,10,10,10,11.28,10,10,25,40,15,10,9,9.15,8.8,9,0
#0731,10,10,10,20,10,10,20.59,19.67,14.39,9.8,8,8.266666667,9.6,4,6.6
#0732,10,10,10,20,10,10,20.13,7.71,15,7.533333333,7.35,7.8,8.6,5,7.4
#0733,10,10,10,20,10,10,25,40,15,9.8,9.2,6.766666667,8.25,9,9.8
#0734,10,10,10,20,10,1.98,3.99,40,15,9,10,6.6,5.6,4,6
#0735,10,10,10,20,10,10,25,40,15,9.8,9.5,9.15,7.8,8,9.6
#0736,10,10,10,20,10,10,25,40,15,9.8,8.05,9.466666667,9.6,8,9.8
#0737,10,10,10,20,10,10,25,40,15,10,9,10,9,8,10
#0738,10,10,10,9.98,9.96,10,23.62,39.75,15,10,9.8,10,8,8,10
#0739,10,10,10,20,10,10,22.1,40,15,9,9.8,9.4,6.8,9,10
#0740,10,10,10,19.71,9.94,9.18,16.46,34.97,15,10,10,9.1,8.5,5,7.6
#0741,10,10,10,19.25,10,10,21.71,40,15,10,9.083333333,8.433333333,6.466666667,7,9.8
#0742,10,10,10,20,10,10,18.01,39.61,15,9.75,9,8.25,8.6,7,9.6
#0743,10,10,10,11.67,6.05,9.73,8.61,0,14.83,10,9.35,9.333333333,9.6,7,8.6
#0744,10,10,10,20,10,10,25,40,15,0,9.75,7,8,8,9.6
#0745,10,10,10,20,10,10,25,40,15,10,9.333333333,9.5,7.6,8,10
#0746,10,10,10,20,10,10,25,40,15,10,10,9.4,9,10,10
#0747,10,10,10,20,10,10,25,40,15,10,10,9.2,9.666666667,8,10
#0748,10,10,10,20,10,10,25,40,15,9,10,9.266666667,10,10,9.6
#0749,10,10,10,20,10,10,25,36.48,15,8.8,9.8,7.166666667,8.2,7,7.4
#0750,10,10,10,20,10,10,25,1,15,8,8.6,9.2,8.466666667,6,8.8
#0751,10,10,10,20,10,10,5.89,13.95,15,9,8.3,8.766666667,8.65,0,9.8
#0752,10,10,0,0,10,10,5.13,30.29,15,8.8,9.416666667,7,6.866666667,5,7
#0753,10,10,10,20,10,10,25,40,15,9,10,8.466666667,8.6,9,7.6
#0754,10,10,10,20,10,0,24.36,35.85,15,9.8,7.6,8.3,10,8,9
#0755,10,10,10,20,10,10,24.87,40,15,8,10,7.466666667,9,8,10
#0756,10,10,10,20,10,10,25,33,15,9,8.266666667,8,7.2,9,9.6
#0757,10,10,10,20,10,10,.98,5.99,4,8.8,8.3,9.4,0,7,8.8
#0758,10,10,10,20,10,10,25,40,15,9,10,9.6,6.2,9,9.4
#0759,10,10,10,20,8.51,3.2,9.3,4.57,14.61,9,7.75,7.8,.5,3.333333333,7.4
#0760,10,10,10,20,10,10,25,38.94,15,10,9.25,8.8,9,9,9.6
#0761,10,10,10,8.72,10,9.16,22.3,5.68,15,7.6,9,7.566666667,5.666666667,1,9.4
#0762,10,4.52,10,20,10,0,0,20.5,13.57,7.8,7.966666667,7.9,6.3,5,7.95
#0763,0,0,0,20,10,4.54,4.74,0,1.86,8,9,7.133333333,7.3,0,7.8
#0764,10,10,10,20,10,10,25,34.9,15,9,7.5,9.333333333,0,2,8.2
#0765,10,10,10,20,10,10,20.53,40,15,9,10,10,0,7,7.2
#0766,10,10,10,1.81,10,10,4.9,15.73,14.18,9.8,9.15,.2,8,9,6.8
#0767,10,10,10,20,10,10,18.58,40,15,9,7.407142857,6.6,7.4,4,8.6
#0768,10,10,10,20,10,10,25,40,15,8,9.8,8.45,10,8,8
#0769,10,10,10,0,10,8.54,3.66,15.37,15,7.8,10,8.433333333,7.8,5,7.4
#0770,10,10,10,20,10,10,25,33.39,10.93,9,8.6,8.6,8.8,7,10
#0771,10,10,10,20,10,10,0,32.36,15,8,9.607142857,7.266666667,6.7,9,9.6
#0772,10,10,10,0,10,0,0,0,1.95,8.8,7.6,8.3,9.4,9,9.8
#0773,10,10,10,20,10,10,12.42,1,15,10,9.8,9.1,10,6,8.8
#0774,10,10,10,20,2.74,10,17.01,20.87,15,9.3,8.6,9.466666667,5.4,7,9.8
#0775,10,10,10,20,10,10,23.27,33.95,15,9,8.55,8.266666667,8.266666667,4,8.5
#0776,10,10,10,20,10,10,25,40,15,9,9.6,8.516666667,6.3,9,8.2
#0777,10,10,10,20,10,10,22.54,40,15,9,8.6,9.6,6.8,9,9.4
#0778,10,10,10,10.58,10,10,9.54,27.61,15,8,7.857142857,8.366666667,6.866666667,9,9
#0779,10,10,10,10.88,9.63,6.71,9.6,38.98,13.62,9,8.4,8.4,8.15,7,8.8
#0780,10,10,10,10.89,10,10,25,36.09,15,9,9.666666667,10,6.4,8,9.6
#0781,10,10,10,20,10,10,0,40,15,9,8.8,9.8,2.7,5.333333333,7.8
#0782,10,10,0,20,10,10,0,10.69,15,9.4,0,9,9.35,5,8.6
#0783,10,10,10,20,10,10,25,40,15,10,9.016666667,8.666666667,7.8,7,9.4
#0784,10,10,10,0,10,0,2.74,40,15,10,9.333333333,8.933333333,8.8,9,9
#0785,10,10,10,20,10,10,25,40,15,9,9.75,10,9,7.5,9.3
#0786,10,10,10,20,10,10,25,40,15,6.8,6.016666667,8.6,8.233333333,10,7.666666667
#0787,10,10,10,10.75,10,10,22.27,5.72,15,8.8,9.8,7.4,8,7,9.8
#0788,10,10,10,20,10,10,25,40,15,10,9.2,9.5,8.8,7,6.95
#0789,10,10,10,20,10,10,25,40,15,10,10,9.6,10,10,8.4
#0790,10,10,10,10.93,10,2.18,25,32.1,15,8.75,9,8.1,0,7.333333333,7.933333333
#0791,10,10,10,10.98,10,6.63,25,40,15,8.8,7.933333333,9.2,7.8,9,9
#0792,10,10,10,20,10,10,25,40,15,0,9,9.6,9,8,9.8
#0793,10,10,10,20,10,10,23.66,20.21,15,9,9.666666667,10,9.3,7,8.8
#0794,10,10,10,20,10,10,25,39.4,15,10,9.6,8.666666667,10,6,8.6
#0795,0,0,10,0,0,0,0,0,0,0,7.133333333,0,0,0,0
#0796,10,10,10,18.78,10,10,9.49,0,15,10,10,8.933333333,8,3.4,8.8
#0797,10,10,10,20,10,10,25,35.15,15,9.8,9.4,9.6,10,9,10
#0798,10,10,10,20,10,10,9.73,38.49,14.11,10,9.8,8.4,8.333333333,7,9.8
#0799,10,10,10,10.95,9.68,10,15.39,7.38,15,10,8.8,8.133333333,8.1,7,0
#0800,10,10,10,20,10,10,25,39.71,14.98,7.8,8.2,8.933333333,9,9,9.5
#0801,10,10,10,20,10,10,25,40,15,9,10,9.2,8.8,7,9.6
#0802,10,10,10,20,10,10,2.95,40,15,9,9.55,7.3,6.3,8,8
#0803,10,10,10,16.96,10,10,16.25,34.79,15,10,10,8.966666667,6.8,9,9.4
#0804,10,10,10,20,10,10,23.69,40,15,7.6,7.8,7.9,8,8,10
#0805,10,10,10,0,0,0,0,19.53,4.93,9,7.15,0,6,6,7.933333333
#0806,10,10,10,10.96,10,10,25,40,15,9,8.266666667,8.766666667,9.466666667,9,9
#0807,10,10,10,20,10,10,25,40,15,10,9.6,8.3,7.666666667,9,9.6
#0808,10,10,10,20,10,10,9.83,40,15,8.8,9.3,8.3,5.866666667,7,7.2
#0809,10,10,10,18.56,10,10,22.22,36.09,15,7.6,8.9,9.633333333,7.666666667,9,8.8
#0810,10,10,10,20,10,10,25,40,15,8.8,10,8.466666667,8,9,9.8
#0811,10,10,10,20,10,10,21.96,39.67,11.92,10,9.6,9.633333333,6.75,6,9.6
#0812,0,0,10,20,10,10,17.37,31.15,0,8,8.95,9.4,7.8,3,9.8
#0813,10,10,10,20,10,10,12.24,8.27,15,9,9,10,9.8,10,10
#0814,10,10,10,16.33,10,10,21.88,40,15,9,9.8,9.6,10,6,9.133333333
#0815,10,10,10,20,10,10,25,40,15,8.6,8.8,7.8,7,7,7.4
#0816,10,10,10,14.48,10,10,25,40,15,10,9.666666667,9.4,7.8,6,9
#0817,10,10,10,20,10,10,25,36.45,11.04,10,7.6,9.2,8.2,8,7.533333333
#0818,10,10,10,20,10,10,25,40,15,9.8,9,10,9.8,6,8.666666667
#0819,10,10,10,17.75,9.75,10,18.43,35.75,11.63,7.8,8.6,6.4,8,9,9
#0820,10,10,10,20,10,10,25,40,15,10,9.1,8.233333333,9.6,8,9
#0821,8.32,8.38,10,13.86,10,10,6.92,30.52,15,9,8.783333333,9.6,8,10,7.133333333
#0822,10,10,10,20,10,10,25,40,15,9,8.8,9.2,8,8.666666667,9
#0823,10,10,10,12.74,10,10,9.01,40,15,10,8.2,8.75,9.25,5,9
#0824,10,10,10,20,10,10,25,34.57,15,10,9.75,9.4,8.333333333,9,8.8
#0825,10,10,10,0,0,4.1,25,40,15,9,0,7.966666667,9,9,10
#0826,10,10,10,20,10,10,18.56,4.62,15,8.6,8,9.333333333,7.5,6,10
#0827,10,10,10,20,10,10,25,40,15,10,8.25,9.3,9.5,10,10
#0828,10,10,10,20,10,10,10.72,38.73,12.42,8.8,8.6,8.05,7.666666667,9,10
#0829,10,10,10,11.74,10,10,25,40,15,9,10,8.8,8.5,9,10
#0830,10,10,10,6.97,10,0,3.99,22.9,15,8.6,5.871428571,5.75,6.7,9,9
#0831,10,10,10,20,10,10,0,11.77,0,7.2,8,0,4.4,8,5.6
#0832,0,0,10,12.17,0,9.73,0,0,0,9,7.121428571,3.6,.533333333,0,0
#0833,10,10,10,20,10,10,25,40,15,9,9,9.1,7.05,9,8.8
#0834,10,10,10,11.83,10,10,25,40,15,9,7.266666667,8.866666667,7.766666667,7.333333333,10
#0835,10,10,10,20,10,10,20.95,40,15,10,7.133333333,8.8,9.416666667,6,10
#0836,10,10,10,14.46,9.69,10,24.34,33.21,15,9,8.4,4.2,7.8,9,8.8
#0837,10,10,10,20,10,10,25,40,15,10,9.466666667,8.133333333,8.5,10,9
#0838,10,10,10,0,0,7.3,8.15,11.46,9.35,9.75,0,0,5.6,9,5.8
#0839,10,10,10,10.86,3.99,9.68,22.13,40,15,9,7.733333333,8.6,9.266666667,9,9
#0840,1.77,0,10,0,0,0,0,0,0,8.8,9.8,8.433333333,4.533333333,7,7.8
#0841,10,9.14,10,20,10,10,25,40,15,9.8,9.457142857,7,8.4,8,10
#0842,10,10,10,20,10,10,25,40,15,10,7.478571429,9.4,7.6,9,9.6
#0843,10,10,10,20,10,10,25,28.49,14.48,8,9,9.2,0,8,8.6
#0844,10,3.5,10,9.98,9.76,10,25,39.55,15,9,9.8,8.9,9,7,9.8
#0845,10,10,10,20,10,10,25,40,15,9,9.6,8.5,6.65,9,9.6
#0846,9.72,10,10,20,9.91,10,22.66,29.84,15,8.8,9.8,8.366666667,9.5,9,8.8
#0847,10,10,10,20,10,10,25,40,13.09,10,9.057142857,8.4,5.6,0,6.4
#0848,10,10,10,20,10,10,20.18,15.87,10.1,8,9,7.1,8.8,7,0
#0849,10,10,10,20,4.97,10,15.46,40,15,9.8,9.8,6.1,8.066666667,7,9.8
#0850,10,10,10,20,10,10,25,40,15,7,9.8,9.5,10,9,10
#0851,10,10,10,20,10,10,20.14,38.92,15,8,10,9,9,9,8.8
#0852,10,10,10,20,0,0,15.28,29.98,8.67,6.6,7.357142857,8.05,6.8,9,7.7
#0853,10,10,10,20,10,10,22.65,22.5,15,9.5,7.466666667,7.8,9.55,6,9.066666667
#0854,10,10,10,12.7,10,10,5.02,0,3.61,10,8.9,7.833333333,6.2,8,7.8
#0855,10,10,10,20,10,10,25,40,15,7,9.5,9.6,9,9,8.333333333
#0856,10,10,10,0,8.84,0,0,2.67,15,7,8.2,6.766666667,5.2,.5,9
#0857,10,1.8,10,20,10,10,0,9.69,12.98,9,8.7,9.1,7.8,9,9.2
#0858,10,10,10,20,10,10,25,40,15,9.8,9,8.2,9.1,9,8.6
#0859,10,10,10,20,10,10,13.32,3.95,12.43,10,9.8,8.866666667,7.3,4,7.4
#0860,10,10,10,20,10,10,4.85,36.81,15,9,9.857142857,8.7,8.6,6,8.933333333
#0861,10,10,10,20,10,10,20.83,40,13.71,10,10,9.6,8,3,8.4
#0862,10,8.95,10,20,9.99,10,20.48,30.53,10.34,9,8.466666667,9.2,7,9,9
#0863,10,10,10,9.87,3.94,0,9.42,0,0,9,6.516666667,9.066666667,4.666666667,3,0
#0864,10,10,10,20,10,10,25,40,15,9,9.75,8.8,8.3,8,9
#0865,10,10,10,20,10,10,11.34,40,15,9,10,9.266666667,9,0,9
#0866,10,10,10,20,10,10,5.97,40,0,9.6,8.8,9.4,8.8,3,9.8
#0867,10,10,10,9.92,9.98,0,0,7.07,7.66,8.8,7.333333333,6.4,5.3,8,7.666666667
#0868,10,10,10,16.93,10,10,13.84,9.95,15,10,9.8,0,10,10,10
#0869,9.9,10,10,20,10,10,25,40,15,5.6,9,8,8.4,7,9
#0870,10,10,10,20,10,10,25,40,15,10,9.8,9.8,9.6,9,10
#0871,10,10,10,20,0,0,18.08,0,15,9,0,8.6,6.8,10,9
#0872,10,10,10,11.31,10,4.46,14.33,15.75,15,8.8,9.8,9.266666667,8.4,7,9.6
#0873,10,10,10,20,10,10,25,40,15,9,9.15,8.666666667,9,8,8.8
#0874,0,0,10,20,0,0,7.53,4.1,2.17,8.8,8.4,6.2,5.05,8,4.883333333
#0875,6.31,10,0,20,10,10,9.06,29.42,8.42,9,6.666666667,9.4,7.8,10,7.9
#0876,10,10,10,20,10,10,25,40,15,10,9,9.8,9.55,10,8.6
#0877,10,10,10,2.7,10,10,16.98,27.36,11.35,8.5,7.466666667,9,8.75,8,7.75
#0878,10,10,10,20,10,10,12.9,35.64,15,8,9,6.6,5.6,7,8
#0879,10,9.73,9.52,9.98,9.98,9.57,12.17,39.44,14.87,10,9.6,9.6,9.3,10,9
#0880,10,10,10,20,10,10,6.51,40,15,8.8,8.75,9.066666667,6.8,5,8.4
#0881,10,10,10,20,10,10,25,40,15,8,9,8.466666667,9,7,8.466666667
#0882,0,0,0,0,0,0,0,0,0,0,5.416666667,7.3,0,0,0
#0883,10,10,10,20,10,10,25,40,15,9,9.466666667,10,9.8,8,9.8
#0884,9.64,10,10,20,9.55,10,10.65,0,9.2,7.8,9.6,8.4,8.8,6,9.333333333
#0885,10,10,10,11.94,10,10,25,40,15,7.6,9.8,8.933333333,9.05,7,6.883333333
#0886,10,10,10,20,10,10,25,40,15,10,9,10,10,10,10
#0887,10,10,10,20,9.98,9.97,18.72,36.25,13,9,9.8,8.7,9,7,8.8
#0888,10,10,10,20,10,10,25,40,15,8.6,9.8,8.766666667,9,9,8.8
#0889,10,10,10,20,10,10,25,39.33,15,9.8,8.55,9.266666667,5.8,7,7.8
#0890,10,10,10,0,0,10,10.88,40,15,10,7.333333333,6.416666667,8.8,5.6,10
#0891,10,10,10,20,10,10,25,40,15,9,9.4,8.95,8.6,10,8.55
#0892,10,10,10,20,10,10,14.9,40,15,8,8.8,9.266666667,6.6,3,7.2
#0893,10,10,10,15.47,10,10,12.84,40,15,9,9.6,8.65,8,8,9.8
#0894,10,10,10,20,10,10,25,40,15,10,8.8,7.9,8.4,7.333333333,10
#0895,10,10,10,20,10,10,24.14,40,15,9,8.466666667,7.933333333,8,8,9
#0896,10,10,10,20,10,10,25,40,15,8.6,9,6.55,6,8,8
#0897,10,10,10,20,10,3.33,0,17.42,12.66,8.8,10,8.733333333,9.3,8.333333333,9.6
#0898,10,10,10,11.6,0,9.31,9.33,9.95,6.95,9.6,10,7.6,8,3,8.6
#0899,10,10,10,20,7.96,8.59,15.63,40,15,8,9.666666667,9.6,10,7,7.6
